x,y,z
28.0,130.0,14.3137245
28.0,132.0,15.686272
28.0,134.0,16.27451
28.0,136.0,18.235292
28.0,138.0,18.235292
28.0,140.0,18.235292
28.0,142.0,18.823528
28.0,144.0,17.647057
28.0,146.0,18.235292
28.0,148.0,17.058823
28.0,150.0,16.27451
28.0,152.0,14.901958
28.0,182.0,15.686272
28.0,184.0,17.058823
28.0,186.0,18.823528
28.0,188.0,19.80392
28.0,190.0,20.98039
28.0,192.0,20.98039
28.0,194.0,21.372547
28.0,196.0,20.98039
28.0,198.0,20.98039
28.0,200.0,19.411764
28.0,202.0,17.647057
28.0,204.0,14.901958
28.0,226.0,14.3137245
28.0,228.0,17.647057
28.0,230.0,20.98039
28.0,232.0,22.745096
28.0,234.0,24.509802
28.0,236.0,26.078432
28.0,238.0,26.666666
28.0,240.0,27.843138
28.0,242.0,28.039215
28.0,244.0,28.039215
28.0,246.0,28.039215
28.0,248.0,27.843138
28.0,250.0,26.470589
28.0,252.0,24.901958
28.0,254.0,22.35294
28.0,256.0,19.80392
28.0,258.0,16.27451
30.0,126.0,13.333332
30.0,128.0,16.27451
30.0,130.0,19.411764
30.0,132.0,21.372547
30.0,134.0,22.745096
30.0,136.0,24.509802
30.0,138.0,24.901958
30.0,140.0,25.294117
30.0,142.0,25.294117
30.0,144.0,24.901958
30.0,146.0,24.901958
30.0,148.0,23.529411
30.0,150.0,22.745096
30.0,152.0,20.392155
30.0,154.0,18.235292
30.0,156.0,15.686272
30.0,178.0,14.3137245
30.0,180.0,17.647057
30.0,182.0,21.372547
30.0,184.0,23.137253
30.0,186.0,25.686274
30.0,188.0,27.450981
30.0,190.0,28.039215
30.0,192.0,28.823528
30.0,194.0,28.823528
30.0,196.0,28.039215
30.0,198.0,27.450981
30.0,200.0,25.686274
30.0,202.0,23.137253
30.0,204.0,20.392155
30.0,206.0,15.686272
30.0,224.0,14.3137245
30.0,226.0,18.823528
30.0,228.0,22.745096
30.0,230.0,26.666666
30.0,232.0,29.019608
30.0,234.0,31.17647
30.0,236.0,32.941177
30.0,238.0,33.52941
30.0,240.0,34.509804
30.0,242.0,35.098038
30.0,244.0,34.901962
30.0,246.0,34.509804
30.0,248.0,34.117645
30.0,250.0,32.54902
30.0,252.0,30.980392
30.0,254.0,27.450981
30.0,256.0,24.509802
30.0,258.0,19.80392
30.0,260.0,14.901958
32.0,126.0,17.647057
32.0,128.0,20.392155
32.0,130.0,24.509802
32.0,132.0,27.450981
32.0,134.0,29.80392
32.0,136.0,30.980392
32.0,138.0,31.960783
32.0,140.0,32.54902
32.0,142.0,32.941177
32.0,144.0,32.54902
32.0,146.0,31.960783
32.0,148.0,30.980392
32.0,150.0,29.80392
32.0,152.0,27.450981
32.0,154.0,24.509802
32.0,156.0,20.392155
32.0,158.0,16.27451
32.0,176.0,14.3137245
32.0,178.0,18.823528
32.0,180.0,23.529411
32.0,182.0,27.058823
32.0,184.0,29.80392
32.0,186.0,32.941177
32.0,188.0,34.313725
32.0,190.0,35.294117
32.0,192.0,35.490196
32.0,194.0,36.27451
32.0,196.0,35.294117
32.0,198.0,34.117645
32.0,200.0,31.568626
32.0,202.0,28.431372
32.0,204.0,24.901958
32.0,206.0,20.392155
32.0,208.0,14.901958
32.0,224.0,17.058823
32.0,226.0,22.745096
32.0,228.0,27.843138
32.0,230.0,31.568626
32.0,232.0,34.901962
32.0,234.0,37.647057
32.0,236.0,39.215687
32.0,238.0,40.0
32.0,240.0,40.784313
32.0,242.0,41.17647
32.0,244.0,40.784313
32.0,246.0,40.588234
32.0,248.0,40.0
32.0,250.0,38.235294
32.0,252.0,35.88235
32.0,254.0,32.941177
32.0,256.0,28.431372
32.0,258.0,23.137253
32.0,260.0,17.647057
34.0,124.0,15.686272
34.0,126.0,20.98039
34.0,128.0,25.686274
34.0,130.0,30.0
34.0,132.0,33.52941
34.0,134.0,35.88235
34.0,136.0,37.843136
34.0,138.0,38.82353
34.0,140.0,39.215687
34.0,142.0,39.411766
34.0,144.0,39.411766
34.0,146.0,38.82353
34.0,148.0,37.647057
34.0,150.0,36.27451
34.0,152.0,33.333332
34.0,154.0,30.0
34.0,156.0,25.294117
34.0,158.0,20.392155
34.0,160.0,14.901958
34.0,176.0,17.058823
34.0,178.0,22.35294
34.0,180.0,28.431372
34.0,182.0,32.54902
34.0,184.0,35.88235
34.0,186.0,38.62745
34.0,188.0,40.19608
34.0,190.0,41.37255
34.0,192.0,41.568626
34.0,194.0,41.568626
34.0,196.0,40.588234
34.0,198.0,39.60784
34.0,200.0,36.862743
34.0,202.0,33.333332
34.0,204.0,28.823528
34.0,206.0,24.117645
34.0,208.0,18.235292
34.0,222.0,14.3137245
34.0,224.0,20.392155
34.0,226.0,26.470589
34.0,228.0,31.764706
34.0,230.0,36.47059
34.0,232.0,39.80392
34.0,234.0,42.15686
34.0,236.0,43.52941
34.0,238.0,44.509804
34.0,240.0,45.098038
34.0,242.0,45.490196
34.0,244.0,45.294117
34.0,246.0,44.705883
34.0,248.0,43.92157
34.0,250.0,42.54902
34.0,252.0,40.0
34.0,254.0,36.27451
34.0,256.0,31.17647
34.0,258.0,25.686274
34.0,260.0,18.823528
34.0,262.0,13.333332
36.0,124.0,18.235292
36.0,126.0,23.529411
36.0,128.0,29.80392
36.0,130.0,34.509804
36.0,132.0,38.431374
36.0,134.0,40.784313
36.0,136.0,42.7451
36.0,138.0,43.52941
36.0,140.0,43.92157
36.0,142.0,44.117645
36.0,144.0,43.92157
36.0,146.0,43.52941
36.0,148.0,42.15686
36.0,150.0,40.784313
36.0,152.0,38.431374
36.0,154.0,34.509804
36.0,156.0,29.80392
36.0,158.0,24.509802
