x,y,z
30.0,138.0,1.1764717
30.0,141.0,1.1764717
30.0,144.0,1.1764717
30.0,186.0,1.3725471
30.0,189.0,1.7647057
30.0,192.0,2.1568642
30.0,195.0,1.9607849
30.0,198.0,1.7647057
30.0,201.0,1.1764717
30.0,231.0,1.9607849
30.0,234.0,2.9411774
30.0,237.0,3.9215698
30.0,240.0,4.705883
30.0,243.0,5.0980377
30.0,246.0,4.705883
30.0,249.0,3.9215698
30.0,252.0,2.9411774
30.0,255.0,1.3725471
33.0,129.0,1.1764717
33.0,132.0,2.5490189
33.0,135.0,4.1176453
33.0,138.0,5.490196
33.0,141.0,5.882351
33.0,144.0,5.6862755
33.0,147.0,5.0980377
33.0,150.0,3.9215698
33.0,153.0,2.1568642
33.0,180.0,1.3725471
33.0,183.0,3.1372528
33.0,186.0,5.490196
33.0,189.0,7.254902
33.0,192.0,8.431374
33.0,195.0,8.039215
33.0,198.0,6.4705887
33.0,201.0,3.5294113
33.0,204.0,1.5686264
33.0,228.0,2.5490189
33.0,231.0,5.490196
33.0,234.0,9.411766
33.0,237.0,12.15686
33.0,240.0,14.117645
33.0,243.0,14.901958
33.0,246.0,13.725491
33.0,249.0,10.980392
33.0,252.0,7.6470566
33.0,255.0,3.5294113
36.0,129.0,3.333332
36.0,132.0,7.843136
36.0,135.0,11.960785
36.0,138.0,14.901958
36.0,141.0,16.07843
36.0,144.0,15.686272
36.0,147.0,13.921566
36.0,150.0,10.588234
36.0,153.0,6.2745094
36.0,156.0,2.3529396
36.0,180.0,3.5294113
36.0,183.0,8.431374
36.0,186.0,13.921566
36.0,189.0,18.039215
36.0,192.0,19.607841
36.0,195.0,18.627449
36.0,198.0,14.117645
36.0,201.0,8.627449
36.0,204.0,3.5294113
36.0,225.0,1.3725471
36.0,228.0,4.9019623
36.0,231.0,11.568626
36.0,234.0,18.823528
36.0,237.0,24.117645
36.0,240.0,28.039215
36.0,243.0,27.843138
36.0,246.0,25.686274
36.0,249.0,21.17647
36.0,252.0,13.333332
36.0,255.0,6.2745094
36.0,258.0,1.7647057
39.0,126.0,1.7647057
39.0,129.0,6.4705887
39.0,132.0,14.705883
39.0,135.0,22.35294
39.0,138.0,27.254902
39.0,141.0,29.411764
39.0,144.0,27.843138
39.0,147.0,24.901958
39.0,150.0,19.607841
39.0,153.0,11.960785
39.0,156.0,4.509804
39.0,159.0,1.1764717
39.0,177.0,1.3725471
39.0,180.0,5.882351
39.0,183.0,14.117645
39.0,186.0,22.941175
39.0,189.0,28.431372
39.0,192.0,31.764706
39.0,195.0,29.411764
39.0,198.0,22.35294
39.0,201.0,13.725491
39.0,204.0,5.0980377
39.0,207.0,1.3725471
39.0,225.0,1.9607849
39.0,228.0,7.254902
39.0,231.0,16.470589
39.0,234.0,26.470589
39.0,237.0,33.72549
39.0,240.0,37.45098
39.0,243.0,37.843136
39.0,246.0,34.705883
39.0,249.0,29.019608
39.0,252.0,18.235292
39.0,255.0,8.431374
39.0,258.0,2.3529396
42.0,126.0,2.5490189
42.0,129.0,9.019608
42.0,132.0,19.999998
42.0,135.0,29.411764
42.0,138.0,36.07843
42.0,141.0,38.431374
42.0,144.0,37.843136
42.0,147.0,34.313725
42.0,150.0,26.27451
42.0,153.0,15.882351
42.0,156.0,6.2745094
42.0,159.0,1.5686264
42.0,177.0,1.9607849
42.0,180.0,7.450981
42.0,183.0,18.039215
42.0,186.0,28.039215
42.0,189.0,36.666664
42.0,192.0,38.431374
42.0,195.0,35.490196
42.0,198.0,27.450981
42.0,201.0,16.666664
42.0,204.0,6.4705887
42.0,207.0,1.5686264
42.0,225.0,2.1568642
42.0,228.0,8.627449
42.0,231.0,19.999998
42.0,234.0,31.37255
42.0,237.0,39.215687
42.0,240.0,43.333332
42.0,243.0,43.72549
42.0,246.0,40.19608
42.0,249.0,32.352943
42.0,252.0,21.372547
42.0,255.0,9.6078415
42.0,258.0,2.5490189
45.0,126.0,3.333332
45.0,129.0,10.588234
45.0,132.0,23.529411
45.0,135.0,34.313725
45.0,138.0,41.960785
45.0,141.0,44.117645
45.0,144.0,43.333332
45.0,147.0,38.82353
45.0,150.0,30.0
45.0,153.0,18.823528
45.0,156.0,7.6470566
45.0,159.0,1.9607849
45.0,177.0,2.1568642
45.0,180.0,8.627449
45.0,183.0,20.588234
45.0,186.0,32.352943
45.0,189.0,40.588234
45.0,192.0,42.35294
45.0,195.0,39.215687
45.0,198.0,30.392157
45.0,201.0,18.627449
45.0,204.0,7.254902
45.0,207.0,1.7647057
45.0,225.0,2.3529396
45.0,228.0,9.411766
45.0,231.0,21.764704
45.0,234.0,33.333332
45.0,237.0,42.35294
45.0,240.0,47.2549
45.0,243.0,46.27451
45.0,246.0,42.7451
45.0,249.0,34.705883
45.0,252.0,23.137253
45.0,255.0,10.588234
45.0,258.0,2.9411774
48.0,126.0,3.5294113
48.0,129.0,11.764706
48.0,132.0,25.294117
48.0,135.0,36.666664
48.0,138.0,43.72549
48.0,141.0,46.27451
48.0,144.0,45.098038
48.0,147.0,41.568626
48.0,150.0,32.352943
48.0,153.0,20.196077
48.0,156.0,8.235294
48.0,159.0,2.1568642
48.0,177.0,2.3529396
48.0,180.0,8.823528
48.0,183.0,21.17647
48.0,186.0,34.117645
48.0,189.0,41.17647
48.0,192.0,44.509804
48.0,195.0,41.17647
48.0,198.0,31.960783
48.0,201.0,19.411764
48.0,204.0,7.843136
48.0,207.0,1.9607849
48.0,225.0,2.5490189
48.0,228.0,9.803921
48.0,231.0,22.549019
48.0,234.0,35.68627
48.0,237.0,43.333332
48.0,240.0,47.64706
48.0,243.0,47.2549
48.0,246.0,43.72549
48.0,249.0,35.68627
48.0,252.0,24.313725
48.0,255.0,11.372547
48.0,258.0,2.9411774
51.0,126.0,3.5294113
51.0,129.0,12.35294
51.0,132.0,25.686274
51.0,135.0,37.058823
51.0,138.0,44.705883
51.0,141.0,47.2549
51.0,144.0,46.862743
51.0,147.0,42.7451
51.0,150.0,32.941177
51.0,153.0,20.784313
51.0,156.0,8.431374
51.0,159.0,2.1568642
51.0,177.0,2.1568642
51.0,180.0,9.215687
51.0,183.0,21.372547
51.0,186.0,34.117645
51.0,189.0,42.7451
51.0,192.0,44.705883
51.0,195.0,41.568626
51.0,198.0,32.352943
51.0,201.0,19.607841
51.0,204.0,7.6470566
51.0,207.0,1.5686264
51.0,225.0,2.745098
51.0,228.0,9.803921
51.0,231.0,22.941175
51.0,234.0,35.68627
51.0,237.0,43.333332
51.0,240.0,47.2549
51.0,243.0,47.64706
51.0,246.0,44.117645
51.0,249.0,36.47059
51.0,252.0,24.705881
51.0,255.0,11.568626
51.0,258.0,3.1372528
54.0,126.0,3.7254906
54.0,129.0,12.15686
54.0,132.0,25.882353
54.0,135.0,37.058823
54.0,138.0,44.705883
54.0,141.0,47.64706
54.0,144.0,46.862743
54.0,147.0,41.960785
54.0,150.0,33.333332
54.0,153.0,20.784313
54.0,156.0,8.823528
54.0,159.0,1.9607849
54.0,177.0,2.1568642
54.0,180.0,9.215687
